Service_ID	Item_ID	ISBN13	Category	Rating	Status	Review	Tags	Memo	Added_Date	Read_Date	Title	Author	Publisher	Year	Type	Pages	Gemini_Summary	Gemini_Genre	Gemini_Recommendation
1	4087711196	9784087711196			積読				2026-07-07 1:03:28		母性のディストピア	宇野常寛	集英社	2017-10-26	本	512			
1	4864291276	9784864291279			積読				2026-07-07 1:03:29		ハルキとハルヒ 村上春樹と涼宮ハルヒを解読する (ACADEMIA SOCIETY NO.5)	土居豊	大学教育出版	2012-04-20	本	200			
1	4884754328	9784884754327			積読				2026-07-07 1:03:29		天 2 (バンブーコミックス)	福本伸行	竹書房	1989-09-18	マンガ				
1	4884754549	9784884754549			積読				2026-07-07 1:03:30		天 3 (バンブーコミックス)	福本伸行	竹書房	1990-05-31	マンガ				
1	4884755057	9784884755058			積読				2026-07-07 1:03:30		天 4 (バンブーコミックス)	福本伸行	竹書房	1991-04-19	マンガ				
1	4884755758	9784884755751			読み終わった				2026-07-07 1:03:31	2026-07-07 0:00:00	天 5 (バンブーコミックス)	福本伸行	竹書房	1992-04-24	マンガ				
1	488475431X	9784884754310			読み終わった				2026-07-07 1:03:32	2026-07-07 0:00:00	天 1 (バンブーコミックス)	福本伸行	竹書房	1990-02-27	マンガ				
1	4473047067	9784473047069			読み終わった				2026-07-07 1:03:32	2026-07-07 0:00:00	ニュー日本文学史	三宅香帆	淡交社	2026-03-21	本	240			
1	4396618557	9784396618551			積読				2026-07-07 1:03:33		アニソン大全 ーー「鉄腕アトム」から「鬼滅の刃」まで (単行本)	澄川龍一	祥伝社	2025-11-05	本	240			
1	4478109680	9784478109687			読み終わった				2026-07-07 1:03:33	2026-07-07 0:00:00	DIE WITH ZERO 人生が豊かになりすぎる究極のルール	ビル・パーキンス	ダイヤモンド社	2020-10-01	本	280			
1		4912044390466			読み終わった				2026-07-07 1:03:34	2026-07-07 0:00:00	将棋世界 2026年4月号	「将棋世界」編集部	マイナビ出版	2026-03-03	雑誌	228			
1	4334108199	9784334108199			読み終わった				2026-07-07 1:03:35	2026-07-07 0:00:00	性的であるとはどのようなことか	難波優輝	光文社	2025-12-17	本	216			
1	4152098708	9784152098702			積読				2026-07-07 1:03:35		三体	劉慈欣	早川書房	2019-07-04	本	448			
1	4101050414	9784101050416			積読				2026-07-07 1:03:36		花ざかりの森・憂国 自選短編集 (新潮文庫)	三島由紀夫	新潮社	2020-10-28	本	352			
1	4150310475	9784150310479			積読				2026-07-07 1:03:37		ゼロ年代の想像力 (ハヤカワ文庫JA)	宇野常寛	早川書房	2011-09-09	本	480			
1	4569860176	9784569860176			積読				2026-07-07 1:03:37		考察する若者たち (PHP新書)	三宅香帆	PHP研究所	2025-11-14	本	248			
1	4101035415	9784101035413			積読				2026-07-07 1:03:38		暇と退屈の倫理学 (新潮文庫)	國分功一郎	新潮社	2021-12-23	本	512			
1	4065399750	9784065399750			積読				2026-07-07 1:03:38		「選択肢」の選択史 ニトロプラスのシナリオライターはノベルゲームをどう作ってきたか (星海社新書)	下倉バイオ	星海社	2025-09-18	本	240			
1	4326851961	9784326851966			積読				2026-07-07 1:03:39		虚構世界はなぜ必要か? SFアニメ「超」考察	古谷利裕	勁草書房	2018-12-26	本	304			
1	4816369783	9784816369780			積読				2026-07-07 1:03:39		史上最強の漢検マスター準1級問題集	オフィス海	ナツメ社	2021-02-08	本	320			
1	4163919090	9784163919096			いま読んでる				2026-07-07 1:03:40		西洋の敗北 日本と世界に何が起きるのか	エマニュエル・トッド	文藝春秋	2024-11-08	本	416			
