Service_ID	Item_ID	ISBN13	Category	Rating	Status	Review	Tags	Memo	Added_Date	Read_Date	Title	Author	Publisher	Year	Type	Pages	Gemini_Summary	Gemini_Recommendation
1	4087711196	9784087711196			積読				2026-07-07 1:03:28		母性のディストピア	宇野常寛	集英社	2017-10-26	本	512	宇野常寛による、アニメーションを通した戦後日本社会と「母性」の変容を鋭く分析する批評書。	
1	4864291276	9784864291279			積読				2026-07-07 1:03:29		ハルキとハルヒ 村上春樹と涼宮ハルヒを解読する (ACADEMIA SOCIETY NO.5)	土居豊	大学教育出版	2012-04-20	本	200	村上春樹の純文学と涼宮ハルヒのライトノベルを対比・分析し、現代の想像力のゆくえを論じた評論集。	
1	4884754328	9784884754327			積読				2026-07-07 1:03:29		天 2 (バンブーコミックス)	福本伸行	竹書房	1989-09-18	マンガ		東西の裏麻雀界の頂点を決める戦いが幕を開ける。強敵たちとの死闘の中で、天とアカギが見せる常人離れした勝負勘が光る第2巻。	
1	4884754549	9784884754549			積読				2026-07-07 1:03:30		天 3 (バンブーコミックス)	福本伸行	竹書房	1990-05-31	マンガ		関西最大の暴力団を巻き込んだ巨大な麻雀勝負が佳境へ。絶体絶命のピンチに現れたアカギの神がかり的な闘牌が炸裂する第3巻。	
1	4884755057	9784884755058			積読				2026-07-07 1:03:30		天 4 (バンブーコミックス)	福本伸行	竹書房	1991-04-19	マンガ		究極の麻雀勝負「クリア麻雀」が展開。極限状態での心理戦と、勝負師としての生き様が克明に描かれる激動の第4巻。	
1	4884755758	9784884755751			読み終わった				2026-07-07 1:03:31	2026-07-07 0:00:00	天 5 (バンブーコミックス)	福本伸行	竹書房	1992-04-24	マンガ		東西戦がついに決着。そして物語は「アカギの晩年」という新たな展開へ突入し、生と死を問いかける重厚なドラマが始まる第5巻。	
1	488475431X	9784884754310			読み終わった				2026-07-07 1:03:32	2026-07-07 0:00:00	天 1 (バンブーコミックス)	福本伸行	竹書房	1990-02-27	マンガ		麻雀の代打ちとして生きる「天」と、理を見通す天才「アカギ」の出会い、そして裏社会の激しい闘牌を描く福本伸行の麻雀漫画、第1巻。	
1	4473047067	9784473047069			読み終わった				2026-07-07 1:03:32	2026-07-07 0:00:00	ニュー日本文学史	三宅香帆	淡交社	2026-03-21	本	240	日本の近現代文学の歴史を、新たな視点と分かりやすい切り口で読み解く、新しいタイプの文学史入門書。	
1	4396618557	9784396618551			積読				2026-07-07 1:03:33		アニソン大全 ーー「鉄腕アトム」から「鬼滅の刃」まで (単行本)	澄川龍一	祥伝社	2025-11-05	本	240	『鉄腕アトム』から『鬼滅の刃』まで、時代を彩ったアニメソングの歴史と進化、その社会的な意義を網羅した詳細な解説本。	
1	4478109680	9784478109687			読み終わった				2026-07-07 1:03:33	2026-07-07 0:00:00	DIE WITH ZERO 人生が豊かになりすぎる究極のルール	ビル・パーキンス	ダイヤモンド社	2020-10-01	本	280	「死ぬ時に後悔しないため」をテーマに、お金をただ貯め込むのではなく、人生の充実を最大化するタイミングで使い切る合理的な生き方を説く世界的ベストセラー。	
